description,user_tags,title,license_name,user_nsid,image_extension_original,longitude,image_id,license_url,date_uploaded,date_taken,latitude,image_url,user_nickname,capture_device
,"['2009 road trip', 'obrero road trip']",Biltmore Estate,Attribution-NonCommercial-NoDerivs License,95156977@N00,jpg,,3519864665,http://creativecommons.org/licenses/by-nc-nd/2.0/,1242004112,2009-05-10 08:27:33.0,,http://www.flickr.com/photos/95156977@N00/3519864665/,5 Flip-Flops (Earl),Canon EOS DIGITAL REBEL XT
,"['daulatabad', 'daulatabad fort', 'ellora', 'road trip']",Chand Minar,Attribution-ShareAlike License,24574470@N00,jpg,75.200386,4896119055,http://creativecommons.org/licenses/by-sa/2.0/,1281931224,2010-08-14 13:35:10.0,19.939383,http://www.flickr.com/photos/24574470@N00/4896119055/,sankarshan,NIKON CORPORATION NIKON D90
"After the flood, the boarded up stores bear uplifting graffiti","['cedarrapids', 'createsouthroadtrip2009', 'disaster', 'graffiti']",Uplifting Graffiti,Attribution License,73451168@N00,jpg,,3468473862,http://creativecommons.org/licenses/by/2.0/,1240493762,2009-04-21 18:07:56.0,,http://www.flickr.com/photos/73451168@N00/3468473862/,J Wynia,Panasonic DMC-TZ5
,"['cork', 'enchente', 'flood', 'ireland', 'irlanda']",DSCF6487,Attribution-NonCommercial-NoDerivs License,12947023@N00,jpg,-8.621177,4120853942,http://creativecommons.org/licenses/by-nc-nd/2.0/,1258754762,2009-11-20 15:16:40.0,51.889603,http://www.flickr.com/photos/12947023@N00/4120853942/,guileite,FUJIFILM FinePix S6000fd
,"['athens georgia', 'brown', 'current', 'flood', 'mud', 'river', 'spring', 'trash', 'tree', 'winter']",Oconoe river - flooded,Attribution License,60704492@N00,jpg,-83.368265,4436083254,http://creativecommons.org/licenses/by/2.0/,1268676971,2010-03-13 15:14:04.0,33.949149,http://www.flickr.com/photos/60704492@N00/4436083254/,The_Gut,Canon PowerShot SX10 IS
"The House & Herrmann furniture store, designed by Appleton P. Clark and completed in 1896, is located on the northeast corner of 7th and I Streets, NW. The store occupied this building for some 90 years. More on historic Furniture Row is at <a href=""http://streetsofwashington.blogspot.com/2010/06/grogans-furniture-store-on-7th-street.html"" rel=""nofollow"">streetsofwashington.blogspot.com/2010/06/grogans-furnitur...</a>","['appleton p. clark', 'chinatown', 'furniture', 'furniturerow', 'house & herrmann', 'pennquarter', 'seventhstreet', 'stores', 'washington', 'washingtondc']",House & Herrmann Building (2010),Attribution-NonCommercial License,33661083@N06,jpg,-77.021681,4687941690,http://creativecommons.org/licenses/by-nc/2.0/,1276168260,2010-05-06 13:41:22.0,38.901007,http://www.flickr.com/photos/33661083@N06/4687941690/,StreetsofWashington,NIKON CORPORATION NIKON D3000
duplicate (12017),[],Waiting for the flood?,Attribution-NonCommercial License,97888103@N00,jpg,-73.987167,6041476795,http://creativecommons.org/licenses/by-nc/2.0/,1313334447,2011-08-14 10:58:43.0,40.7275,http://www.flickr.com/photos/97888103@N00/6041476795/,zingbot,Apple iPad 2
"There were actually three temples located at this site, of which the first one was destroyed during the 7th century BC in a massive flood. Although the sea has retreated quite substantially from this place, apparently water still flows here from time to time.","['archaeological site', 'ruin', 'selçuk', 'turkey']",imgp4356,Attribution-NonCommercial-NoDerivs License,24776236@N00,jpg,27.363233,8431249158,http://creativecommons.org/licenses/by-nc-nd/2.0/,1359583414,2012-11-11 16:25:09.0,37.949763,http://www.flickr.com/photos/24776236@N00/8431249158/,Mr. Pi,PENTAX Corporation PENTAX K10D
"The Mornos lake is a man made lake which currently supplies Athens with drinking water. When it was created, a number of mountain villages were flooded and can only be seen on days when the water level is low.

Shot on a Canon Powershot G9.","['ελλάδα', 'ελλάς', 'ελληνικά', 'ελληνική', 'ελληνικό', 'ελληνικός', 'greece', 'greek', 'hellas', 'lake', 'mornos']","Mornos lake - low water, village pops out, October 2008",Attribution-NonCommercial-ShareAlike License,33278601@N00,jpg,22.16414,8564707991,http://creativecommons.org/licenses/by-nc-sa/2.0/,1363537633,2008-10-27 14:17:40.0,38.549393,http://www.flickr.com/photos/33278601@N00/8564707991/,5telios,Canon PowerShot G9
"Here's a message posted from the Seven {sunrise} website

Name: Chrystal
Photo title: Old Ingham Cemetery
Brief description of the photo: Even the most sacred places have not been spared from the sea of water
town, state: Ingham QLD
Upload photo: /home/www/html/raptor/www/formCSV//0902/32127_15479_1233962891.jpg

NOTE: No valid email sender email found. Default sender email used. Please do not reply!","['floods', 'sunrise']",Old Ingham Cemetery by Chrystal,Attribution-NonCommercial-NoDerivs License,12594196@N04,jpg,,3259293162,http://creativecommons.org/licenses/by-nc-nd/2.0/,1233962894,2009-02-07 10:28:14.0,,http://www.flickr.com/photos/12594196@N04/3259293162/,SunriseOn7,
,"['flooding', 'milford nh', 'new hampshire', 'noreaster']",DSCN5137,Attribution-NonCommercial-NoDerivs License,51645047@N00,jpg,,463023075,http://creativecommons.org/licenses/by-nc-nd/2.0/,1176829541,2007-04-17 10:30:11.0,,http://www.flickr.com/photos/51645047@N00/463023075/,Pauly G,NIKON E5600
"Northwesternpart of Tianjin. At that time, automobile vehicles on the road were mainly taxis (yellow and red).","['1997', 'china', 'march', 'tianjin']",Tianjin-NW-1,Attribution-NonCommercial-NoDerivs License,7480456@N06,jpg,117.212791,431342369,http://creativecommons.org/licenses/by-nc-nd/2.0/,1174654332,2007-02-24 22:20:52.0,39.09503,http://www.flickr.com/photos/7480456@N06/431342369/,phonono,
,"['durham', 'elvet bridge', 'river wear', 'rowing boat']",IMG_7036.jpg,Attribution-ShareAlike License,73422480@N00,jpg,-1.572762,5897189704,http://creativecommons.org/licenses/by-sa/2.0/,1309697983,2011-06-30 12:58:47.0,54.776486,http://www.flickr.com/photos/73422480@N00/5897189704/,tompagenet,Canon EOS 500D
"Galena, AK - A Yukon River barge docks at Galena, Alaska, while barge workers unload construction materials and other goods ordered by residents, Sept. 6.
 
Barges and aircraft are the two means by which residents of Galena get all the goods they need for daily life, and are also the only way in which to ship much needed reconstruction materials to the village.
 
Huge sheets of ice clogged the Yukon River on May 28, 2013, downstream from the village of Galena. The river's water rapidly rose and breached its banks, flooding the town, destroying homes, and leaving months of recovery work behind when the waters receded.
 
(U.S. National Guard photo by Sgt. 1st Class Brock Jones, 128th Mobile Public Affairs Detachment)
 — in Galena, AK.","['alaska', 'alaska department of homeland security and emergency management', 'flood', 'galena', 'yukon river']",130906-Z-OY066-115,Attribution-NonCommercial-ShareAlike License,47326183@N07,jpg,,9786953263,http://creativecommons.org/licenses/by-nc-sa/2.0/,1379435211,2013-09-06 17:57:20.0,,http://www.flickr.com/photos/47326183@N07/9786953263/,Utah National Guard,NIKON CORPORATION NIKON D300S
,"['bridge', 'river', 'roma', 'rome', 'tiber', 'water']",Bridge over troubled Tiber,Attribution-ShareAlike License,8286908@N02,jpg,12.466435,3659775055,http://creativecommons.org/licenses/by-sa/2.0/,1245949632,2009-06-08 19:00:58.0,41.901917,http://www.flickr.com/photos/8286908@N02/3659775055/,Xjs-Khaos,"SAMSUNG TECHWIN NV24HD, VLUU NV24HD, LANDIAO NV106HD"
"A pic of the Mejijinga Shrine, I was told that every New Year's the
place is a mob scene with Tokyo-ites flooding the shrine for the new
year's wishes.","['iphone', 'mobile']",Tokyo: Mejijinga Shrine,Attribution License,45795292@N00,jpg,,1165599373,http://creativecommons.org/licenses/by/2.0/,1187492950,2007-08-18 15:09:38.0,,http://www.flickr.com/photos/45795292@N00/1165599373/,brokentrinkets,"SAMSUNG TECHWIN CO., LTD. Digimax L85"
"Dan the Fisher Man fishing the river Nairn at Holme Bridge, Nairnshire.","['bridge', 'holme bridge', 'river nairn']",Dan fishing Holme Bridge,Attribution-NonCommercial-ShareAlike License,23164545@N02,jpg,,7888648880,http://creativecommons.org/licenses/by-nc-sa/2.0/,1346261875,2012-08-29 14:40:02.0,,http://www.flickr.com/photos/23164545@N02/7888648880/,Duncan Brown (Cradlehall),Panasonic DMC-FZ40
Confusing sign.,"['göterborg', 'mobile', 'road', 'sign', 'skylt', 'vägmärke', 'vägskylt']",Drive where?,Attribution License,81571077@N00,jpg,11.979697,3292833946,http://creativecommons.org/licenses/by/2.0/,1235045573,2009-02-19 12:04:53.0,57.699555,http://www.flickr.com/photos/81571077@N00/3292833946/,jonsson,Nokia E71
those special places,"['alamos', 'arboles', 'camino', 'green', 'isla teja', 'landscape', 'naturaleza', 'nature', 'paisaje', 'road', 'trees', 'valdivia', 'verde']",,Attribution-NonCommercial-NoDerivs License,22663177@N00,jpg,,2430080122,http://creativecommons.org/licenses/by-nc-nd/2.0/,1208742864,2008-02-05 16:14:35.0,,http://www.flickr.com/photos/22663177@N00/2430080122/,Melissa Morano B,SONY DSC-H9
"The River Thames in Flood at Higginson Park, Marlow.","['flood', 'river', 'thames']",Thames at Marlow in Flood,Attribution-NonCommercial License,46634697@N08,jpg,,11607742766,http://creativecommons.org/licenses/by-nc/2.0/,1388252998,2013-12-27 14:40:31.0,,http://www.flickr.com/photos/46634697@N08/11607742766/,nembow,NIKON CORPORATION NIKON D3000
"Madrid. Si no recuerdo mal, en algún sitio entre Callao y Opera.

<a href=""http://www.gegebe.com"" rel=""nofollow"">Gerard Girbes Berges</a> (2009)","['época', '2009', 'barrier post', 'black', 'building', 'buildings', 'calle', 'carrer', 'city', 'ciudad', 'ciutat', 'cobbled paving', 'detail', 'e330', 'edificio', 'edificios', 'edificis', 'españa', 'espagne', 'espanha', 'espanya', 'finestras', 'gegebe', 'geoetiquetadas', 'gerardgirbesberges', 'gray', 'grey', 'gris', 'herba', 'hierba', 'madrid', 'negre', 'negro', 'old', 'olympus', 'pavement', 'pavimento', 'paving', 'piedras', 'pivotes', 'road', 'spagna', 'spain', 'street', 'urban', 'ventanas', 'wall', 'way', 'windows']",Una calle anclada en otra época,Attribution-NonCommercial-NoDerivs License,14242265@N00,jpg,-3.706684,4276264558,http://creativecommons.org/licenses/by-nc-nd/2.0/,1263544996,2009-12-27 12:38:58.0,40.41776,http://www.flickr.com/photos/14242265@N00/4276264558/,Gerard Girbes,OLYMPUS IMAGING CORP. E-330
